"Model","Set","Threshold","Accuracy","AUC","Sensitivity","Precision","F1_Score"
"Baseline","Train",0.5,0.844428571428571,0.833989178368207,0.391304347826087,0.716302952503209,0.506122448979592
"Weighted","Train",0.5,0.760428571428571,0.83439063655089,0.758765778401122,0.448033126293996,0.563394949231971
"SMOTE","Train",0.5,0.776898091758019,0.846524168092929,0.723235156615241,0.753164556962025,0.737896494156928
"Downsampled","Train",0.5,0.74929873772791,0.828294998318147,0.749649368863955,0.749124036440084,0.749386610585349
