"Model","Set","Threshold","Accuracy","AUC","Sensitivity","Precision","F1_Score"
"Baseline","Train",0.5,0.844428571428571,0.833989178368207,0.391304347826087,0.716302952503209,0.506122448979592
"Weighted","Train",0.5,0.760428571428571,0.83439063655089,0.758765778401122,0.448033126293996,0.563394949231971
"SMOTE","Train",0.5,0.776898091758019,0.846524168092929,0.723235156615241,0.753164556962025,0.737896494156928
"Downsampled","Train",0.5,0.74929873772791,0.828294998318147,0.749649368863955,0.749124036440084,0.749386610585349
"Baseline","Test",0.5,0.849,0.843408036972517,0.415711947626841,0.725714285714286,0.528616024973985
"Weighted","Test",0.5,0.760666666666667,0.844469229193544,0.765957446808511,0.448705656759348,0.56590084643289
"SMOTE","Test",0.5,0.796666666666667,0.844382223762898,0.700490998363339,0.500584795321637,0.583901773533424
"Downsampled","Test",0.5,0.765333333333333,0.84457541692386,0.765957446808511,0.454810495626822,0.570731707317073
